anio,tipo_eleccion,seccion_id,seccion_nombre,circuito_id,partido_electoral,votos_positivos,total_electores,total_votos_positivos,pct_votos
2011,presidencial,15,Comuna 15,164,Centroderecha,738,11008,7910,9.33
2011,presidencial,15,Comuna 15,164,Izquierda,349,11008,7910,4.41
2011,presidencial,15,Comuna 15,164,PJ,4606,33024,7910,58.23
2011,presidencial,15,Comuna 15,164,PS,2217,11008,7910,28.03
2011,presidencial,15,Comuna 15,165,Centroderecha,1302,18484,13603,9.57
2011,presidencial,15,Comuna 15,165,Izquierda,457,18484,13603,3.36
2011,presidencial,15,Comuna 15,165,PJ,7779,55452,13603,57.19
2011,presidencial,15,Comuna 15,165,PS,4065,18484,13603,29.88
2011,presidencial,15,Comuna 15,166,Centroderecha,1057,15727,11857,8.91
2011,presidencial,15,Comuna 15,166,Izquierda,453,15727,11857,3.82
2011,presidencial,15,Comuna 15,166,PJ,6981,47181,11857,58.88
2011,presidencial,15,Comuna 15,166,PS,3366,15727,11857,28.39
2011,presidencial,15,Comuna 15,167,Centroderecha,787,12231,9176,8.58
2011,presidencial,15,Comuna 15,167,Izquierda,367,12231,9176,4.0
2011,presidencial,15,Comuna 15,167,PJ,5136,36693,9176,55.97
2011,presidencial,15,Comuna 15,167,PS,2886,12231,9176,31.45
2011,presidencial,2,Comuna 02,20,Centroderecha,523,7403,4595,11.38
2011,presidencial,2,Comuna 02,20,Izquierda,83,7403,4595,1.81
2011,presidencial,2,Comuna 02,20,PJ,2496,22209,4595,54.32
2011,presidencial,2,Comuna 02,20,PS,1493,7403,4595,32.49
2011,presidencial,2,Comuna 02,21,Centroderecha,1074,14489,8566,12.54
2011,presidencial,2,Comuna 02,21,Izquierda,130,14489,8566,1.52
2011,presidencial,2,Comuna 02,21,PJ,4781,43467,8566,55.81
2011,presidencial,2,Comuna 02,21,PS,2581,14489,8566,30.13
2011,presidencial,2,Comuna 02,22,Centroderecha,1329,16693,11154,11.92
2011,presidencial,2,Comuna 02,22,Izquierda,304,16693,11154,2.73
2011,presidencial,2,Comuna 02,22,PJ,5265,50079,11154,47.2
2011,presidencial,2,Comuna 02,22,PS,4256,16693,11154,38.16
2011,presidencial,2,Comuna 02,23,Centroderecha,1652,20849,13695,12.06
2011,presidencial,2,Comuna 02,23,Izquierda,389,20849,13695,2.84
2011,presidencial,2,Comuna 02,23,PJ,6661,62547,13695,48.64
2011,presidencial,2,Comuna 02,23,PS,4993,20849,13695,36.46
2011,presidencial,2,Comuna 02,24,Centroderecha,1132,13752,8864,12.77
2011,presidencial,2,Comuna 02,24,Izquierda,184,13752,8864,2.08
2011,presidencial,2,Comuna 02,24,PJ,4366,41256,8864,49.26
2011,presidencial,2,Comuna 02,24,PS,3182,13752,8864,35.9
2011,presidencial,2,Comuna 02,25,Centroderecha,1007,13005,7989,12.6
2011,presidencial,2,Comuna 02,25,Izquierda,171,13005,7989,2.14
2011,presidencial,2,Comuna 02,25,PJ,4125,39015,7989,51.63
2011,presidencial,2,Comuna 02,25,PS,2686,13005,7989,33.62
2011,presidencial,2,Comuna 02,26,Centroderecha,1397,17999,11072,12.62
