id,nomoficial,nombre_norm,barrio,comuna,tipo_c,long,geometry,metodo_match,match_score,wikidata_id,figura_nombre,partido_madre,tipo_figura
21200,COREA AV.,COREA,Flores,7.0,AVENIDA,27.77153991157357,"LINESTRING (-58.442570674729254 -34.64378251814736, -58.442422329037846 -34.6437668589085, -58.44227330531797 -34.64373697390189)",ambiguo_fuzzy,90.9,AMBIGUO,Francisco E. Correa | Cirilo Correa,,
21201,COREA AV.,COREA,Flores,7.0,AVENIDA,33.44543473419114,"LINESTRING (-58.44292984225759 -34.64374250791445, -58.442805514280124 -34.643772909871956, -58.442570674729254 -34.64378251814736)",ambiguo_fuzzy,90.9,AMBIGUO,Francisco E. Correa | Cirilo Correa,,
21205,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,147.7542056690987,"LINESTRING (-58.43423816486243 -34.64343820863235, -58.435792347324366 -34.64379033258967)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21211,PALMAR,PALMAR,Liniers,9.0,CALLE,114.5731574984357,"LINESTRING (-58.526122586317975 -34.643754577305295, -58.52737018217977 -34.643813435754424)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21227,PALMAR,PALMAR,Liniers,9.0,CALLE,133.0968970025123,"LINESTRING (-58.52737018217977 -34.643813435754424, -58.52881973092953 -34.64387815906785)",ambiguo_fuzzy,90.9,AMBIGUO,Vito De Palma | Omar Palma | Juan Palma,,
21233,CORVALAN,CORVALAN,Villa Luro,10.0,CALLE,80.10898648252174,"LINESTRING (-58.50370281314235 -34.643424415209765, -58.50356797679293 -34.64352699586841, -58.503058439389804 -34.643912095806776)",ambiguo,100.0,AMBIGUO,Manuel Corvalán | Victorino Corvalán | Juan Rege Corvalán | Mateo Corvalán,,
21236,DARACT AV.,DARACT,Nueva Pompeya,4.0,AVENIDA,66.05437887184233,"LINESTRING (-58.43078100958617 -34.64335494071421, -58.43065688587365 -34.643941461714164)",ambiguo,100.0,AMBIGUO,Mauricio Daract | Justo Daract,,
21238,ELIA,ELIA,Parque Patricios,4.0,CALLE,75.72201977182966,"LINESTRING (-58.40872702198544 -34.64326720595734, -58.40857329059242 -34.64393784678993)",ambiguo,100.0,AMBIGUO,Francisco Elía | Agustín Pío de Elía,,
21239,ESCALADA AV.,ESCALADA,,,AVENIDA,32.45117275077679,"LINESTRING (-58.49667558956486 -34.64376858597072, -58.496418507497765 -34.64396964363305)",ambiguo,100.0,AMBIGUO,Manuel María Escalada | Francisco Antonio de Escalada | Antonio José de Escalada | Daniel Domingo de Escalada | Manuel Escalada | Mariano Escalada,,
21256,OLIVERA AV.,OLIVERA,Parque Avellaneda,9.0,AVENIDA,79.08221714474216,"LINESTRING (-58.48518925590538 -34.64336998808556, -58.48497743572555 -34.64406101758348)",ambiguo,100.0,AMBIGUO,Baldomero Álvarez de Olivera | Enrique Olivera | Bernardino Olivera | Eduardo Olivera | Sebastián Olivera,,
21259,"ALCORTA, AMANCIO AV.",AMANCIO AV. ALCORTA,Parque Patricios,4.0,AVENIDA,154.9300440247462,"LINESTRING (-58.39774629676196 -34.643300671320674, -58.39808997733193 -34.64347620912223, -58.399167170082166 -34.64405643295079)",ambiguo_fuzzy,88.2,AMBIGUO,Amancio Alcorta | Amancio Alcorta,,
21263,ZUVIRIA,ZUVIRIA,Flores,7.0,CALLE,149.2008799756081,"LINESTRING (-58.456307678257645 -34.643181539222034, -58.45752081919225 -34.64407794826206)",ambiguo,100.0,AMBIGUO,Facundo Zuviría | José María Zuviría,,
21276,ALBARIÑO,ALBARINO,,,CALLE,147.7942247346383,"LINESTRING (-58.50565808367283 -34.64321417254377, -58.504469012798296 -34.644113671683854)",ambiguo,100.0,AMBIGUO,Ramón Albariño | Domingo Albariño | José María Albariño,,
21280,BALBASTRO,BALBASTRO,Flores,7.0,CALLE,185.8224226304517,"LINESTRING (-58.44805507942868 -34.64293346078416, -58.44821311573425 -34.6430746788132, -58.44946175767607 -34.64413927239954)",ambiguo,100.0,AMBIGUO,Carlos María de Alvear y Balbastro | Matías Balbastro,,
21281,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,145.8589377021166,"LINESTRING (-58.435792347324366 -34.64379033258967, -58.43732660525284 -34.6441379254015)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21282,CRESPO,CRESPO,Parque Chacabuco,7.0,CALLE,53.68258853483029,"LINESTRING (-58.43748967038115 -34.643673167444355, -58.43732660525284 -34.6441379254015)",ambiguo,100.0,AMBIGUO,Manuel Crespo | Domingo Crespo | Ignacio Crespo,,
21296,LUZURIAGA,LUZURIAGA,Barracas,4.0,CALLE,130.2120230873282,"LINESTRING (-58.38826155915467 -34.64297562401411, -58.3883146959646 -34.644148553477606)",ambiguo,100.0,AMBIGUO,Toribio de Luzuriaga | Enrique Luzuriaga | Manuel de Luzuriaga,,
21297,OLAVARRIA,OLAVARRIA,Barracas,4.0,CALLE,115.8183088814862,"LINESTRING (-58.3883146959646 -34.644148553477606, -58.38957669332443 -34.64410277326224)",ambiguo,100.0,AMBIGUO,Antonio de Olavarría | José Valentín de Olavarría,,
21300,BALBASTRO,BALBASTRO,Flores,7.0,CALLE,6.668622047245319,"LINESTRING (-58.44946175767607 -34.64413927239954, -58.44951236514802 -34.644182447502274)",ambiguo,100.0,AMBIGUO,Carlos María de Alvear y Balbastro | Matías Balbastro,,
21309,PATRON,PATRON,Liniers,9.0,CALLE,104.298726434258,"LINESTRING (-58.51031600130245 -34.643474228467255, -58.51108291707818 -34.64416861006432)",ambiguo,100.0,AMBIGUO,Matías Patrón | José María Roxas y Patrón,,
21318,OLAVARRIA,OLAVARRIA,Barracas,4.0,CALLE,128.8701810124305,"LINESTRING (-58.38691047734634 -34.644199442936646, -58.3883146959646 -34.644148553477606)",ambiguo,100.0,AMBIGUO,Antonio de Olavarría | José Valentín de Olavarría,,
21335,PIZARRO,PIZARRO,Villa Luro,10.0,CALLE,103.8952546418021,"LINESTRING (-58.50176644438662 -34.64362426836392, -58.50254745136061 -34.644302827909065)",ambiguo,100.0,AMBIGUO,Manuel D. Pizarro | Manuel Esteban Pizarro,,
21336,CORVALAN,CORVALAN,Villa Luro,10.0,CALLE,63.83068488219231,"LINESTRING (-58.503058439389804 -34.643912095806776, -58.50265928992212 -34.64421370662985, -58.50254745136061 -34.644302827909065)",ambiguo,100.0,AMBIGUO,Manuel Corvalán | Victorino Corvalán | Juan Rege Corvalán | Mateo Corvalán,,
21338,VARELA AV.,VARELA,Flores,7.0,AVENIDA,82.59166197071927,"LINESTRING (-58.45395721184181 -34.6437738515544, -58.453355396768764 -34.64432782263626)",ambiguo,100.0,AMBIGUO,Juan Cruz Varela | Florencio Varela | Mariano Adrián Varela | Rufino Varela | Felipe Varela,,
21339,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,79.46355979206075,"LINESTRING (-58.43732660525284 -34.6441379254015, -58.43816245615191 -34.64432732746723)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21377,HERRERA,HERRERA,Barracas,4.0,CALLE,68.05867792849399,"LINESTRING (-58.37704603690785 -34.64382624228905, -58.37685693797587 -34.64441949334654)",ambiguo,100.0,AMBIGUO,Julio Herrera | Luis Beder Herrera | Nicolás Herrera | José Antonio Ortiz y Herrera,,
21382,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,54.51398197211945,"LINESTRING (-58.43816245615191 -34.64432732746723, -58.4387358810461 -34.644457234115315)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21417,HERRERA,HERRERA,Barracas,4.0,CALLE,97.08369216140768,"LINESTRING (-58.37623071904687 -34.64369566187193, -58.37600563721136 -34.64455078937598)",ambiguo,100.0,AMBIGUO,Julio Herrera | Luis Beder Herrera | Nicolás Herrera | José Antonio Ortiz y Herrera,,
21428,ALBARIÑO,ALBARINO,,,CALLE,77.91047729334161,"LINESTRING (-58.504469012798296 -34.644113671683854, -58.504347634125644 -34.64420547391315, -58.50384192920431 -34.64458761802169)",ambiguo,100.0,AMBIGUO,Ramón Albariño | Domingo Albariño | José María Albariño,,
21430,LUNA,LUNA,Parque Patricios,4.0,CALLE,148.0369270451889,"LINESTRING (-58.39774629676196 -34.643300671320674, -58.39766778133743 -34.64356520871266, -58.39726271343351 -34.64457311289661)",ambiguo,100.0,AMBIGUO,Félix Luna | Pelagio Luna | Francisco Pantaleón Luna | Juan Pedro Luna | Octavio Luna,,
21431,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,59.76947546077336,"LINESTRING (-58.4387358810461 -34.644457234115315, -58.43936460559875 -34.64459961382155)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21449,"ALCORTA, AMANCIO AV.",AMANCIO AV. ALCORTA,Parque Patricios,4.0,AVENIDA,118.2690344605807,"LINESTRING (-58.399167170082166 -34.64405643295079, -58.4002479553458 -34.64463840965261)",ambiguo_fuzzy,88.2,AMBIGUO,Amancio Alcorta | Amancio Alcorta,,
21463,HERRERA,HERRERA,Barracas,4.0,CALLE,28.39946911107389,"LINESTRING (-58.37685693797587 -34.64441949334654, -58.37677803196514 -34.644667044953984)",ambiguo,100.0,AMBIGUO,Julio Herrera | Luis Beder Herrera | Nicolás Herrera | José Antonio Ortiz y Herrera,,
21471,CORVALAN,CORVALAN,Villa Luro,10.0,CALLE,63.64257170990252,"LINESTRING (-58.50254745136061 -34.644302827909065, -58.502410825731204 -34.644411745930064, -58.5020541030415 -34.64470636924754)",ambiguo,100.0,AMBIGUO,Manuel Corvalán | Victorino Corvalán | Juan Rege Corvalán | Mateo Corvalán,,
21487,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,59.67492759939856,"LINESTRING (-58.43936460559875 -34.64459961382155, -58.4399923098171 -34.64474184924223)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21499,SOMELLERA,SOMELLERA,Parque Chacabuco,7.0,CALLE,18.35587898649625,"LINESTRING (-58.4399923098171 -34.64474184924223, -58.44018538446022 -34.644785618741295)",ambiguo,100.0,AMBIGUO,Andrés Somellera | Antonio Somellera | Pedro Alcántara de Somellera,,
21515,ELIA,ELIA,Parque Patricios,4.0,CALLE,100.10581654234,"LINESTRING (-58.40857329059242 -34.64393784678993, -58.40840015820208 -34.64469312718732, -58.408369651550466 -34.6448243821064)",ambiguo,100.0,AMBIGUO,Francisco Elía | Agustín Pío de Elía,,
21522,ZUVIRIA,ZUVIRIA,Flores,7.0,CALLE,127.8107373934975,"LINESTRING (-58.45752081919225 -34.64407794826206, -58.45856007861431 -34.64484581629489)",ambiguo,100.0,AMBIGUO,Facundo Zuviría | José María Zuviría,,
21525,ESCALADA AV.,ESCALADA,,,AVENIDA,146.8610176911962,"LINESTRING (-58.496418507497765 -34.64396964363305, -58.49539715206567 -34.64476865565492, -58.495253143176164 -34.64487785751645)",ambiguo,100.0,AMBIGUO,Manuel María Escalada | Francisco Antonio de Escalada | Antonio José de Escalada | Daniel Domingo de Escalada | Manuel Escalada | Mariano Escalada,,
21534,OLIVERA AV.,OLIVERA,Parque Avellaneda,9.0,AVENIDA,94.69711493254825,"LINESTRING (-58.48497743572555 -34.64406101758348, -58.48472500182435 -34.644888745030265)",ambiguo,100.0,AMBIGUO,Baldomero Álvarez de Olivera | Enrique Olivera | Bernardino Olivera | Eduardo Olivera | Sebastián Olivera,,
21556,BALBASTRO,BALBASTRO,Flores,7.0,CALLE,116.3992893195435,"LINESTRING (-58.44951236514802 -34.644182447502274, -58.45039595967748 -34.64493586023148)",ambiguo,100.0,AMBIGUO,Carlos María de Alvear y Balbastro | Matías Balbastro,,
21563,LUZURIAGA,LUZURIAGA,Barracas,4.0,CALLE,85.48427360609473,"LINESTRING (-58.3883146959646 -34.644148553477606, -58.388349620785604 -34.64491858103168)",ambiguo,100.0,AMBIGUO,Toribio de Luzuriaga | Enrique Luzuriaga | Manuel de Luzuriaga,,
21575,"ALCORTA, AMANCIO AV.",AMANCIO AV. ALCORTA,Parque Patricios,4.0,AVENIDA,64.66333806239669,"LINESTRING (-58.4002479553458 -34.64463840965261, -58.40083882046043 -34.644956673993015)",ambiguo_fuzzy,88.2,AMBIGUO,Amancio Alcorta | Amancio Alcorta,,
21578,PIZARRO,PIZARRO,Villa Luro,10.0,CALLE,103.4234200151626,"LINESTRING (-58.50254745136061 -34.644302827909065, -58.50319113955756 -34.64486206020911, -58.50332565734897 -34.644977721289955)",ambiguo,100.0,AMBIGUO,Manuel D. Pizarro | Manuel Esteban Pizarro,,
21579,ALBARIÑO,ALBARINO,,,CALLE,64.1358621348311,"LINESTRING (-58.50384192920431 -34.64458761802169, -58.50332565734897 -34.644977721289955)",ambiguo,100.0,AMBIGUO,Ramón Albariño | Domingo Albariño | José María Albariño,,
21595,PATRON,PATRON,Liniers,9.0,CALLE,117.6141295847668,"LINESTRING (-58.51115156004508 -34.644228827738914, -58.51201980309216 -34.64500927640293)",ambiguo,100.0,AMBIGUO,Matías Patrón | José María Roxas y Patrón,,
21611,DARACT AV.,DARACT,Nueva Pompeya,4.0,AVENIDA,127.4079259648271,"LINESTRING (-58.43065688587365 -34.643941461714164, -58.43041734118038 -34.64507274461045)",ambiguo,100.0,AMBIGUO,Mauricio Daract | Justo Daract,,
21629,CORVALAN,CORVALAN,Villa Luro,10.0,CALLE,66.18079004614603,"LINESTRING (-58.5020541030415 -34.64470636924754, -58.50154354570868 -34.645128083123)",ambiguo,100.0,AMBIGUO,Manuel Corvalán | Victorino Corvalán | Juan Rege Corvalán | Mateo Corvalán,,
21633,VARELA AV.,VARELA,Flores,7.0,AVENIDA,121.6500691040394,"LINESTRING (-58.453355396768764 -34.64432782263626, -58.45246902157651 -34.64514381013718)",ambiguo,100.0,AMBIGUO,Juan Cruz Varela | Florencio Varela | Mariano Adrián Varela | Rufino Varela | Felipe Varela,,
21643,"ALCORTA, AMANCIO AV.",AMANCIO AV. ALCORTA,Parque Patricios,4.0,AVENIDA,43.96490882083635,"LINESTRING (-58.40083882046043 -34.644956673993015, -58.40124059774823 -34.64517300758782)",ambiguo_fuzzy,88.2,AMBIGUO,Amancio Alcorta | Amancio Alcorta,,
21658,HERRERA,HERRERA,Barracas,4.0,CALLE,78.97954341605015,"LINESTRING (-58.37600563721136 -34.64455078937598, -58.3759232515035 -34.6448637609738, -58.375826049830465 -34.645247074525635)",ambiguo,100.0,AMBIGUO,Julio Herrera | Luis Beder Herrera | Nicolás Herrera | José Antonio Ortiz y Herrera,,
21671,OLIVERA AV.,OLIVERA,Parque Avellaneda,9.0,AVENIDA,46.90095699885209,"LINESTRING (-58.48472500182435 -34.644888745030265, -58.48456874323728 -34.6452913108509)",ambiguo,100.0,AMBIGUO,Baldomero Álvarez de Olivera | Enrique Olivera | Bernardino Olivera | Eduardo Olivera | Sebastián Olivera,,
21683,CORVALAN,CORVALAN,Villa Luro,10.0,CALLE,34.86961981444436,"LINESTRING (-58.50154354570868 -34.645128083123, -58.501439031571486 -34.645214384151885, -58.50127361362666 -34.64534950727735)",ambiguo,100.0,AMBIGUO,Manuel Corvalán | Victorino Corvalán | Juan Rege Corvalán | Mateo Corvalán,,
21691,ALBARIÑO,ALBARINO,,,CALLE,63.31525946365731,"LINESTRING (-58.50332565734897 -34.644977721289955, -58.502834096970936 -34.64537858907451)",ambiguo,100.0,AMBIGUO,Ramón Albariño | Domingo Albariño | José María Albariño,,
21709,PINEDO AV.,PINEDO,Barracas,4.0,AVENIDA,373.7706386605809,"LINESTRING (-58.38091581216223 -34.642114819538946, -58.381020981752854 -34.6421777989125, -58.38110048987294 -34.64232072628091, -58.38118410644825 -34.64542453389434)",ambiguo,100.0,AMBIGUO,Federico Pinedo | Federico Pinedo | Agustín de Pinedo | José María Pinedo | Manuel Andrés Arroyo y Pinedo,,
21718,OLAVARRIA,OLAVARRIA,Barracas,4.0,CALLE,335.4598977493581,"LINESTRING (-58.38957669332443 -34.64410277326224, -58.39284452915344 -34.645462884738166)",ambiguo,100.0,AMBIGUO,Antonio de Olavarría | José Valentín de Olavarría,,
21719,"ALCORTA, AMANCIO AV.",AMANCIO AV. ALCORTA,Parque Patricios,4.0,AVENIDA,64.06192120059443,"LINESTRING (-58.40124059774823 -34.64517300758782, -58.401840945723464 -34.64546845479397)",ambiguo_fuzzy,88.2,AMBIGUO,Amancio Alcorta | Amancio Alcorta,,
21733,ZUVIRIA,ZUVIRIA,Flores,7.0,CALLE,120.7726170223486,"LINESTRING (-58.45856007861431 -34.64484581629489, -58.45954209710749 -34.64557141976368)",ambiguo,100.0,AMBIGUO,Facundo Zuviría | José María Zuviría,,
