id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,partido_raw,tipo_figura,fuente_match,calle_wikidata_id,calle_wikidata_label
25389,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,86.60942608680166,"LINESTRING (-58.516693387045606 -34.66154249942476, -58.517473165511795 -34.66198335492367)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
28673,"UGARTE, MANUEL",MANUEL UGARTE,Coghlan,Coghlan,Coghlan,12.0,CALLE,39.99061816082109,"LINESTRING (-58.47682577700642 -34.56430143208077, -58.477177219317255 -34.56451455747678)",Q507453,Manuel Ugarte,,,politico,wikidata_p138,Q64338439,Biblioteca Popular Manuel Ugarte
2421,"UGARTE, MANUEL",MANUEL UGARTE,Coghlan,Coghlan,Coghlan,12.0,CALLE,103.7843246055514,"LINESTRING (-58.47591362905817 -34.56374841926632, -58.47682577700642 -34.56430143208077)",Q507453,Manuel Ugarte,,,politico,wikidata_p138,Q64338439,Biblioteca Popular Manuel Ugarte
23655,"ALBERDI, JUAN BAUTISTA AV.",JUAN BAUTISTA ALBERDI,Mataderos,Mataderos,Mataderos,9.0,AVENIDA,126.7827551006754,"LINESTRING (-58.50316047696846 -34.65217353544227, -58.504070996121 -34.65303372017258)",Q722738,Juan Bautista Alberdi,,,politico,wikidata_p138,Q64338434,Biblioteca Popular Juan Bautista Alberdi
29023,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,80.10139003099546,"LINESTRING (-58.361705715526746 -34.61799367112915, -58.36155653820876 -34.61793257711421, -58.36085376328526 -34.61786952916541)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
29024,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,101.2304505329549,"LINESTRING (-58.36085376328526 -34.61786952916541, -58.35975411897485 -34.617790838567394)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
32908,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,64.40287392928953,"LINESTRING (-58.3664157476747 -34.61811580220759, -58.365717087137305 -34.61805748501452)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
32919,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,65.76134411033908,"LINESTRING (-58.3664157476747 -34.61811580220759, -58.366119626284735 -34.618049490760725, -58.36571924622075 -34.61797561020558)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
32920,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,71.77985281775521,"LINESTRING (-58.36571924622075 -34.61797561020558, -58.36560056117996 -34.61796112285259, -58.36493788773369 -34.617961820512775)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
14790,SAN IRENEO,SAN IRENEO,Caballito,Caballito,Caballito,6.0,PASAJE,153.6333495993192,"LINESTRING (-58.43818989026187 -34.62002215535159, -58.4376764150381 -34.621340374396155)",Q182123,Ireneo de Lyon,,,politico,wikidata_p138,Q132097078,San Ireneo
15029,SAN IRENEO,SAN IRENEO,Caballito,Caballito,Caballito,6.0,PASAJE,108.6104191177321,"LINESTRING (-58.4376764150381 -34.621340374396155, -58.43731340050589 -34.62227228054355)",Q182123,Ireneo de Lyon,,,politico,wikidata_p138,Q132097078,San Ireneo
15298,SAN IRENEO,SAN IRENEO,Caballito,Caballito,Caballito,6.0,PASAJE,112.8600142155318,"LINESTRING (-58.43731340050589 -34.62227228054355, -58.43693622504347 -34.623240661705296)",Q182123,Ireneo de Lyon,,,politico,wikidata_p138,Q132097078,San Ireneo
7832,"CABRAL, SGTO.",CABRAL,Retiro,Retiro,Retiro,1.0,CALLE,132.5035848856159,"LINESTRING (-58.37852043071103 -34.594636475181616, -58.379962448779864 -34.5947041597089)",Q6298980,Juan Bautista Cabral,,,politico,wikidata_p138,Q131837279,Sargento Cabral
806,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,46.188053020045,"LINESTRING (-58.49845388041108 -34.55010320843424, -58.49871256024498 -34.54974608295559)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
859,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,58.0490430999384,"LINESTRING (-58.498137445819204 -34.55055626759738, -58.49845388041108 -34.55010320843424)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
961,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.5239605611013,"LINESTRING (-58.49758912093134 -34.55134066665159, -58.498137445819204 -34.55055626759738)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
29021,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,15.46753239304084,"LINESTRING (-58.361874276874026 -34.61799816636734, -58.361705715526746 -34.61799367112915)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
1060,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.8087303945768,"LINESTRING (-58.497037977586686 -34.552126683680264, -58.49751239204684 -34.55145040906346, -58.49758912093134 -34.55134066665159)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1244,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.8941524648693,"LINESTRING (-58.49593642515462 -34.55369687875371, -58.496488269913215 -34.5529103033104)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1335,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.5578697247541,"LINESTRING (-58.49538644161486 -34.55448084542112, -58.49547202366907 -34.55435891868686, -58.49593642515462 -34.55369687875371)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1431,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,92.9238441803253,"LINESTRING (-58.49487804847462 -34.55520521993528, -58.49538644161486 -34.55448084542112)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
