id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura
31594,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,,,,,AUTOPISTA,968.9038727676503,"LINESTRING (-58.38493289056408 -34.57804277727591, -58.385881601760126 -34.57782970563973, -58.38682646116523 -34.57760705657445, -58.38756499434837 -34.57742892128062, -58.38843271062007 -34.57722853634333, -58.3891866697477 -34.57703923844511, -58.38943929414645 -34.57695328288846, -58.38982886658476 -34.57678608444335, -58.39029564165504 -34.57651528159418, -58.39062359322555 -34.57626352963321, -58.39092459472146 -34.57596392263358, -58.39129504635722 -34.575605355453185, -58.39159982749845 -34.57538866848389, -58.39244848378882 -34.57489483622924, -58.39313123306421 -34.574528471250694, -58.393505291217906 -34.57444895540691, -58.394230153273455 -34.57443342166764)",Q193062,Raúl Alfonsín,UCR,presidente
31595,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,,Recoleta,Recoleta,,SUBIDA AUTOPISTA,407.0556049256318,"LINESTRING (-58.384716824827805 -34.57819572043621, -58.384963595901574 -34.578192689855086, -58.385378165040954 -34.5781116303703, -58.385785020410374 -34.57803215918221, -58.387073112526636 -34.57773318466729, -58.38764580691837 -34.5776027833614, -58.38820115166254 -34.5774691794804, -58.38848268908561 -34.577391216723484, -58.38862154614338 -34.57733389597119, -58.38877397057154 -34.57719525847643, -58.388839468898524 -34.577077712357)",Q193062,Raúl Alfonsín,UCR,presidente
31596,AUTOPISTA PRESIDENTE DR. RAUL RICARDO ALFONSIN,RAUL RICARDO ALFONSIN,Retiro,Retiro,Retiro,1.0,BAJADA AUTOPISTA,426.6271016502637,"LINESTRING (-58.38493289056408 -34.57804277727591, -58.38568111542585 -34.577816821469526, -58.38619599871958 -34.577662471116014, -58.38750915593369 -34.5773523455708, -58.3877983970941 -34.57728315950311, -58.387969052513355 -34.57723861599982, -58.388071259644086 -34.57720439502366, -58.388203375644956 -34.57713989486657, -58.38826896199366 -34.57709608355578, -58.38836254072565 -34.57700923505503, -58.38842528873287 -34.576905624216266, -58.38846199354673 -34.57682113264268, -58.388481349135766 -34.57673503581806, -58.38847952558901 -34.576618628505386, -58.38845646868974 -34.576532505676084, -58.38841606989855 -34.5764368045703, -58.38830310518037 -34.57625560250254)",Q193062,Raúl Alfonsín,UCR,presidente
31597,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,Palermo,Recoleta,,CALLE,179.8897061929282,"LINESTRING (-58.40108175640005 -34.572295113825405, -58.40098878075307 -34.57219908311378, -58.400724784174784 -34.57192641033841, -58.400254163202575 -34.571440316641464, -58.39988908329476 -34.5710091168742)",Q11684757,Jerónimo Salguero,Prócer,procer
31598,AUTOPISTA ARTURO ILLIA,ARTURO ILLIA,,,,,SUBIDA AUTOPISTA,67.73333721571288,"LINESTRING (-58.40176065658055 -34.57233486888822, -58.40157851777706 -34.57241366890669, -58.40136267310227 -34.57240882054047, -58.401171697786836 -34.572353423296676, -58.40108175640005 -34.572295113825405)",Q270368,Arturo Umberto Illia,UCR,presidente
31599,AUTOPISTA ARTURO ILLIA,ARTURO ILLIA,,,,,SUBIDA AUTOPISTA,38.42365440399847,"LINESTRING (-58.40176065658055 -34.57233486888822, -58.401620530912396 -34.57242791022719, -58.40152689136116 -34.572484744498645, -58.40148101503771 -34.572528962403126, -58.40145233593806 -34.572565288758796)",Q270368,Arturo Umberto Illia,UCR,presidente
31600,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,,,,CALLE,28.32496462381124,"LINESTRING (-58.40145341591293 -34.57281522688665, -58.40144075906137 -34.572723286174075, -58.40142744932329 -34.572639537785264, -58.401429382671814 -34.5726079381107, -58.40145233593806 -34.572565288758796)",Q11684757,Jerónimo Salguero,Prócer,procer
31601,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,,,,CALLE,56.18702839717511,"LINESTRING (-58.40162600970877 -34.57285374834144, -58.40167947115645 -34.57280398738239, -58.40172534637268 -34.57276134943698, -58.401754050787055 -34.57269026232184, -58.40171589936406 -34.57261914181626, -58.401643338491525 -34.572584344833636, -58.40154975546617 -34.57256375756868, -58.40145233593806 -34.572565288758796)",Q11684757,Jerónimo Salguero,Prócer,procer
31602,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,,,,CALLE,47.63343106915075,"LINESTRING (-58.40145233593806 -34.572565288758796, -58.40139312316939 -34.5725620989694, -58.401303371011736 -34.57252729314905, -58.4012117366844 -34.57245456553953, -58.401137295120705 -34.57238026650031, -58.40108175640005 -34.572295113825405)",Q11684757,Jerónimo Salguero,Prócer,procer
31603,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,,,,CALLE,33.32437965908461,"LINESTRING (-58.4017483436241 -34.57313208787184, -58.401631624490875 -34.57293036602976, -58.40162600970877 -34.57285374834144)",Q11684757,Jerónimo Salguero,Prócer,procer
31604,"SALGUERO, JERONIMO",JERONIMO SALGUERO,,,,,CALLE,16.40427973970848,"LINESTRING (-58.40162600970877 -34.57285374834144, -58.40145341591293 -34.57281522688665)",Q11684757,Jerónimo Salguero,Prócer,procer
