circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
39,UCR,Centroderecha,399.7465285459706,100.0,1004.1,0.3981,40.17,46.66,42.76,34.33,11.43,5.84
4,PS,PS,2404.2429114227325,28.16,3091.1,0.7778,8.89,,0.33,17.46,1.99,7.04
4,UCR,Centroderecha,6132.0965471115,71.84,7883.9,0.7778,59.12,72.12,61.7,51.34,1.99,7.04
48,UCR,Centroderecha,6439.205416327617,100.0,3105.0,2.0738,41.84,48.91,44.42,35.73,6.3,5.52
49,UCR,Centroderecha,3773.3557167208282,100.0,1827.7,2.0645,37.2,42.62,40.13,31.56,6.94,4.93
5,UCR,Centroderecha,9573.928996691555,100.0,2933.3,3.2639,23.03,30.62,27.26,15.01,19.55,3.77
54,PJ,PJ,115.3271594247851,100.0,37.8,3.049,38.47,42.84,24.58,50.17,4.79,5.44
55,UCR,Centroderecha,35.72783376279129,100.0,24.0,1.4858,34.6,38.83,38.94,28.14,8.87,4.39
56,UCR,Centroderecha,2513.5135056118625,100.0,1393.4,1.8039,34.27,38.62,38.49,27.88,8.88,4.58
57,UCR,Centroderecha,1117.906142155122,100.0,664.7,1.6819,37.36,42.44,41.05,31.12,4.55,5.06
6,UCR,Centroderecha,951.6991774173703,100.0,1878.6,0.5066,65.4,79.46,62.42,61.34,1.95,7.34
60,UCR,Centroderecha,304.56943034700845,100.0,420.2,0.7248,39.84,46.03,42.6,33.98,4.37,6.09
61,UCR,Centroderecha,573.4974499203404,100.0,1004.9,0.5707,43.85,51.42,45.64,38.27,3.11,6.62
63,PS,PS,267.80502409809253,22.51,389.8,0.687,9.92,,2.1,17.74,6.11,6.2
63,UCR,Centroderecha,921.8189757717389,77.49,1341.8,0.687,42.18,49.72,44.31,36.27,6.11,6.2
64,PJ,PJ,1007.9556022949611,64.59,1511.0,0.6671,35.14,39.83,22.08,45.86,5.92,6.31
64,PS,PS,552.5471354807999,35.41,828.3,0.6671,10.36,,2.22,18.49,5.92,6.31
65,PS,PS,641.8224630368768,100.0,1336.3,0.4803,9.65,,1.96,17.36,6.14,6.49
67,PJ,PJ,561.0854565861957,84.35,813.6,0.6896,34.49,39.51,21.49,44.98,3.3,6.52
67,UCR,Centroderecha,104.0994614207435,15.65,151.0,0.6896,41.58,49.4,43.3,35.94,3.3,6.52
68,UCR,Centroderecha,144.1930968354442,100.0,148.0,0.9741,42.85,50.82,44.42,37.3,5.7,6.54
7,UCR,Centroderecha,519.5860449263969,100.0,1894.9,0.2742,60.32,72.68,58.72,55.74,1.46,7.28
70,PS,PS,672.1916452678877,56.04,663.2,1.0135,11.57,,2.38,20.76,2.13,6.63
70,UCR,Centroderecha,527.3545347246865,43.96,520.3,1.0135,44.1,52.8,45.53,38.32,2.13,6.63
71,Liberalismo,Liberalismo,465.9676493768672,76.8,497.5,0.9367,19.73,11.4,34.4,9.22,2.4,6.77
71,PS,PS,140.743808297737,23.2,150.3,0.9367,11.55,,2.0,21.1,2.4,6.77
