id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura,fuente_match
5541,HOLMBERG,HOLMBERG,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,92.22083414132403,"LINESTRING (-58.46908294000667 -34.584065252741496, -58.46842019141189 -34.5834402709516)",,,,,
5542,CALDAS,CALDAS,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,48.72019132347486,"LINESTRING (-58.46908294000667 -34.584065252741496, -58.469500913552004 -34.58379438222125)",,,,,
5543,ARAOZ,ARAOZ,Palermo,Palermo,Palermo,14.0,CALLE,137.4056345586685,"LINESTRING (-58.41257188642683 -34.58406259391675, -58.41143804182869 -34.58325344076447)",,,,,
5544,JUNCAL,JUNCAL,Palermo,Palermo,Palermo,14.0,CALLE,97.65697810354251,"LINESTRING (-58.41257188642683 -34.58406259391675, -58.41337918104376 -34.58348890232599)",,,,,
5545,DEL LIBERTADOR AV.,DEL LIBERTADOR,Recoleta,Recoleta,Recoleta,2.0,AVENIDA,141.9957197114899,"LINESTRING (-58.39391034165146 -34.584053481035845, -58.395353812415344 -34.58359189051141)",,,,,
5547,BERUTI,BERUTI,Palermo,Palermo,Palermo,14.0,CALLE,147.6026456627955,"LINESTRING (-58.41427851042832 -34.58407244642955, -58.41552794719168 -34.583234335138556)",,,,,
5548,ZABALA,ZABALA,Chacarita,Chacarita,Chacarita,15.0,CALLE,124.4752533937031,"LINESTRING (-58.45883223209614 -34.58300627454357, -58.45888288729407 -34.583147617007874, -58.45920146316918 -34.58408595510745)",,,,,
5549,GUEVARA,GUEVARA,Chacarita,Chacarita,Chacarita,15.0,CALLE,51.82788980374158,"LINESTRING (-58.45920146316918 -34.58408595510745, -58.45976599653782 -34.58406977495897)",,,,,
5550,ACCESO MAIPU,ACCESO MAIPU,Retiro,Retiro,Retiro,1.0,CALLE,166.8331236625609,"LINESTRING (-58.368819014141444 -34.58398553092941, -58.36778958854778 -34.58274588232697)",,,,,
5552,HUMBOLDT,HUMBOLDT,Palermo,Palermo,Palermo,14.0,CALLE,105.8743039587358,"LINESTRING (-58.43451121401514 -34.58410727685938, -58.43409930586457 -34.58374900348511, -58.43371668341098 -34.583415172868015)",,,,,
