circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
125,UCR,Centroderecha,355.1177311684131,24.39,226.8,1.5661,45.19,54.37,46.78,39.02,2.78,6.21
126,UCR,Centroderecha,201.46182526305006,100.0,144.7,1.3926,43.89,53.11,45.62,37.54,2.01,6.19
128,UCR,Centroderecha,494.68909720626976,100.0,358.0,1.382,45.74,55.2,47.29,39.46,1.59,6.43
129,UCR,Centroderecha,219.4749907469103,100.0,147.8,1.4854,47.67,57.92,48.42,41.79,1.85,6.76
130,UCR,Centroderecha,2275.1429645007865,100.0,1776.5,1.2807,47.05,56.48,48.03,41.36,2.03,6.79
131,UCR,Centroderecha,3487.1040461118782,100.0,1762.3,1.9787,45.33,55.1,46.76,39.01,1.4,6.15
132,UCR,Centroderecha,4681.664035253942,100.0,2335.9,2.0042,44.04,53.2,45.78,37.73,2.2,6.13
133,Liberalismo,Liberalismo,494.8101269796069,56.72,318.0,1.5559,20.33,10.98,35.24,10.1,1.86,6.59
133,UCR,Centroderecha,377.59111266627144,43.28,242.7,1.5559,47.78,58.09,48.62,41.79,1.86,6.59
134,UCR,Centroderecha,1381.503044654347,100.0,865.4,1.5963,52.97,64.96,52.87,47.08,0.7,7.16
135,Liberalismo,Liberalismo,1369.413517536526,73.68,953.2,1.4366,22.24,11.2,39.85,10.16,1.16,7.16
135,UCR,Centroderecha,489.1769250070565,26.32,340.5,1.4366,53.22,64.72,53.28,47.39,1.16,7.16
136,UCR,Centroderecha,698.5926415846841,100.0,992.7,0.7037,50.4,61.06,50.9,44.57,1.71,7.01
137,UCR,Centroderecha,691.4749686376476,100.0,1120.3,0.6172,50.35,60.86,50.9,44.55,1.81,7.0
138,UCR,Centroderecha,286.95517539708624,100.0,323.0,0.8885,54.74,66.86,54.54,48.89,1.18,7.08
14,Liberalismo,Liberalismo,529.8040835431016,34.34,817.5,0.6481,23.74,19.09,36.91,12.89,9.32,6.16
14,UCR,Centroderecha,1012.8697678063977,65.66,1562.8,0.6481,42.56,49.66,44.52,37.05,9.32,6.16
140,Liberalismo,Liberalismo,53.36022208186652,100.0,114.4,0.4665,22.25,12.2,39.05,10.46,1.34,7.01
141,Liberalismo,Liberalismo,4217.787659371401,35.27,1035.5,4.0732,23.68,12.01,42.56,10.64,1.28,7.22
141,PRO,Centroderecha,171.7301864748709,1.44,42.2,4.0732,55.29,67.79,54.48,49.85,1.28,7.22
141,UCR,Centroderecha,7569.376461456573,63.29,1858.3,4.0732,55.29,67.79,54.48,49.85,1.28,7.22
142,Liberalismo,Liberalismo,968.7857663747081,100.0,1231.8,0.7865,24.77,10.08,47.64,9.24,1.48,7.54
143,Liberalismo,Liberalismo,472.58928362383944,100.0,1034.8,0.4567,22.27,11.84,40.21,9.55,1.67,7.23
144,UCR,Centroderecha,620.8325146313726,100.0,842.6,0.7368,58.32,71.65,56.58,53.38,2.74,7.28
148,Liberalismo,Liberalismo,513.3923516314592,100.0,508.8,1.0091,23.51,11.33,43.24,9.86,2.53,7.48
149,Liberalismo,Liberalismo,6525.355736990463,70.07,1223.3,5.3341,25.06,12.94,45.26,10.92,2.45,7.27
149,UCR,Centroderecha,2786.719825732986,29.93,522.4,5.3341,59.38,72.84,58.27,53.76,2.45,7.27
150,Liberalismo,Liberalismo,6909.8030257661185,69.27,2569.5,2.6892,27.24,13.93,51.04,10.09,1.34,7.53
150,UCR,Centroderecha,3065.339141374823,30.73,1139.9,2.6892,65.88,80.46,62.78,61.68,1.34,7.53
151,Liberalismo,Liberalismo,375.3801947857178,31.21,234.9,1.5981,24.12,11.57,45.08,9.44,1.52,7.41
151,UCR,Centroderecha,827.3197617902192,68.79,517.7,1.5981,60.6,74.17,58.88,55.55,1.52,7.41
152,UCR,Centroderecha,253.16178671612727,100.0,444.1,0.5701,58.58,71.69,56.92,53.7,1.03,7.46
153,UCR,Centroderecha,398.8167175447636,100.0,740.7,0.5384,51.57,62.38,51.67,46.06,2.0,7.31
154,PS,PS,81.17729434770362,20.13,106.2,0.7645,11.27,,1.8,20.74,2.04,7.14
154,UCR,Centroderecha,322.094055158134,79.87,421.3,0.7645,48.65,58.58,49.31,43.03,2.04,7.14
155,Liberalismo,Liberalismo,1831.217789711413,41.11,1291.8,1.4176,20.61,12.84,34.67,10.44,3.25,7.04
155,PS,PS,1013.2812735161502,22.75,714.8,1.4176,9.84,,1.72,17.94,3.25,7.04
155,UCR,Centroderecha,1610.0121300754245,36.14,1135.7,1.4176,46.47,56.03,47.58,40.59,3.25,7.04
156,Liberalismo,Liberalismo,1041.3068671157857,55.46,1035.0,1.0061,17.82,10.88,30.2,8.91,3.47,6.87
156,PS,PS,528.687725634042,28.16,525.5,1.0061,10.08,,2.0,18.16,3.47,6.87
156,UCR,Centroderecha,307.4555907425173,16.38,305.6,1.0061,42.28,50.46,43.76,36.7,3.47,6.87
157,PS,PS,315.61370087313014,33.85,369.3,0.8546,10.58,,2.29,18.88,3.63,7.04
157,UCR,Centroderecha,616.6992633108048,66.15,721.6,0.8546,42.92,51.55,44.21,37.32,3.63,7.04
158,UCR,Centroderecha,1009.8514950440627,100.0,1358.6,0.7433,42.04,49.94,43.36,36.76,2.77,6.59
159,PS,PS,885.8432276829818,100.0,1281.4,0.6913,9.72,,2.19,17.26,1.9,6.43
16,UCR,Centroderecha,514.3401966492831,100.0,1724.8,0.2982,37.78,43.78,40.18,32.38,10.54,6.03
160,Liberalismo,Liberalismo,511.49357133093775,23.71,494.2,1.035,18.05,11.41,30.16,9.27,2.21,6.43
160,PS,PS,786.1841870143483,36.45,759.6,1.035,11.43,,2.46,20.4,2.21,6.43
160,UCR,Centroderecha,859.4609005998572,39.84,830.4,1.035,42.15,50.08,43.72,36.61,2.21,6.43
161,Liberalismo,Liberalismo,107.8675459408335,5.17,94.2,1.1455,18.15,11.22,29.98,9.78,3.15,6.29
161,PS,PS,1797.776804834853,86.24,1569.4,1.1455,10.87,,2.46,19.28,3.15,6.29
161,UCR,Centroderecha,178.90496703569343,8.58,156.2,1.1455,40.17,47.74,42.07,34.48,3.15,6.29
162,Liberalismo,Liberalismo,958.6015937040243,100.0,429.7,2.2309,18.99,14.85,28.7,11.36,5.04,5.48
163,Liberalismo,Liberalismo,2114.914861506715,90.48,1812.1,1.1671,17.53,13.56,26.84,10.2,4.08,6.09
163,UCR,Centroderecha,222.4285551900542,9.52,190.6,1.1671,35.56,41.07,38.46,29.91,4.08,6.09
164,Liberalismo,Liberalismo,432.7384601997426,100.0,221.6,1.9525,18.25,12.69,29.12,10.16,3.7,6.32
167,Liberalismo,Liberalismo,584.3477289935613,18.76,275.1,2.1238,19.76,11.83,32.91,10.58,2.17,6.37
167,UCR,Centroderecha,2530.9044761268997,81.24,1191.7,2.1238,44.12,53.4,45.67,37.93,2.17,6.37
18,UCR,Centroderecha,2128.1292961056442,100.0,3873.6,0.5494,35.17,39.99,38.46,29.47,26.28,5.05
19,UCR,Centroderecha,148.6356481800003,100.0,204.7,0.7262,34.42,38.82,38.12,28.52,26.65,4.88
20,Liberalismo,Liberalismo,5057.770060559135,37.01,2063.5,2.4511,25.88,13.48,46.85,11.1,1.84,7.02
20,UCR,Centroderecha,8608.061888578433,62.99,3511.9,2.4511,57.97,71.7,55.89,53.19,1.84,7.02
21,Liberalismo,Liberalismo,1005.0191968013788,100.0,1578.0,0.6369,26.85,11.45,50.98,10.42,1.17,7.48
24,UCR,Centroderecha,120.5498976775812,100.0,404.8,0.2978,59.75,72.58,58.12,54.97,2.11,7.43
26,Liberalismo,Liberalismo,249.91532597572123,30.75,508.1,0.4919,26.17,12.58,48.72,10.4,1.76,7.37
26,UCR,Centroderecha,562.7450287854556,69.25,1144.0,0.4919,63.2,77.13,60.85,58.58,1.76,7.37
27,UCR,Centroderecha,911.694136204685,100.0,2107.0,0.4327,54.66,65.22,54.4,49.64,1.83,7.22
29,PS,PS,131.034455863139,100.0,430.9,0.3041,11.09,,1.73,20.45,2.96,7.13
3,PS,PS,2005.762428165017,39.88,471.9,4.2504,10.05,,0.9,19.2,1.53,7.34
3,UCR,Centroderecha,3024.2356189139887,60.12,711.5,4.2504,61.06,74.11,60.57,55.02,1.53,7.34
30,Liberalismo,Liberalismo,226.93066832932035,100.0,608.7,0.3728,23.27,16.51,37.12,12.78,5.63,6.04
31,Liberalismo,Liberalismo,755.8235053467015,100.0,1817.8,0.4158,23.49,18.65,36.45,12.94,7.05,6.07
32,Liberalismo,Liberalismo,553.8706113458284,57.96,1276.8,0.4338,21.13,15.14,33.86,11.4,8.42,6.46
32,PJ,PJ,401.7956546548684,42.04,926.2,0.4338,32.65,35.73,20.0,43.75,8.42,6.46
33,Liberalismo,Liberalismo,487.0073355971869,40.2,924.5,0.5268,23.0,19.01,34.89,13.1,9.04,5.72
33,PJ,PJ,724.4756477851801,59.8,1375.2,0.5268,34.54,38.03,21.4,45.93,9.04,5.72
34,Liberalismo,Liberalismo,430.6484083460753,32.66,866.1,0.4972,22.54,18.56,33.91,13.16,8.38,5.79
34,PJ,PJ,887.7406499279684,67.34,1785.5,0.4972,34.06,37.46,21.26,45.18,8.38,5.79
35,Liberalismo,Liberalismo,782.7144460668554,51.86,1580.6,0.4952,21.11,17.63,31.31,12.66,11.13,5.69
35,UCR,Centroderecha,726.484377403138,48.14,1467.1,0.4952,38.43,43.9,41.92,32.21,11.13,5.69
37,Liberalismo,Liberalismo,460.00162669492454,47.87,1267.6,0.3629,20.28,15.67,30.85,12.02,8.05,5.73
