año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,cargo_id,mesa_tipo,cargo_nombre,agrupacion_id,agrupacion_nombre,votos_tipo,votos_cantidad
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,8,347,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,84
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,8,347,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,17
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,8,347,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,4
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,23
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,63
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,75
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,64
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,21
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,9,348,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,7
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,14
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,67
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,86
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,68
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,12
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,10,348,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,2
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,8
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,72
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,62
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,60
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,18
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,11,349,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,14
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,8
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,73
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,66
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,74
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,25
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,12,348,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,5
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,12
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,57
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,71
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,68
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,14
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,13,350,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,13
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,9
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,64
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,74
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0503,UNION PRO,POSITIVO,77
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,POSITIVO,13
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,14,347,3,NATIVO,DIPUTADO NACIONAL,0506,CAMINO POPULAR,POSITIVO,4
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,15,347,3,NATIVO,DIPUTADO NACIONAL,0187,AUTODETERMINACION Y LIBERTAD,POSITIVO,7
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,15,347,3,NATIVO,DIPUTADO NACIONAL,0501,FRENTE PARA LA VICTORIA,POSITIVO,70
2013,GENERAL,PROVISORIO,NORMAL,1,Ciudad Autónoma Bs.As.,0,1,Comuna 01,0001,15,347,3,NATIVO,DIPUTADO NACIONAL,0502,UNEN,POSITIVO,60
