Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7166,347,NATIVOS,1,PRESIDENTE,POSITIVO,7,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7167,348,NATIVOS,1,PRESIDENTE,POSITIVO,6,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7168,347,NATIVOS,1,PRESIDENTE,POSITIVO,3,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7169,347,NATIVOS,1,PRESIDENTE,POSITIVO,6,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7170,346,NATIVOS,1,PRESIDENTE,POSITIVO,4,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7171,346,NATIVOS,1,PRESIDENTE,POSITIVO,3,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7172,348,NATIVOS,1,PRESIDENTE,POSITIVO,8,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7173,348,NATIVOS,1,PRESIDENTE,POSITIVO,2,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7174,347,NATIVOS,1,PRESIDENTE,POSITIVO,2,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7175,346,NATIVOS,1,PRESIDENTE,POSITIVO,6,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7176,347,NATIVOS,1,PRESIDENTE,POSITIVO,4,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
